Episode,Round,Question,Player,Correct,Cheated,Accused,
1,1,1,Devan,TRUE,TRUE,x,
1,1,1,Jess,TRUE,FALSE,"Mark, Devan","""I don't think you know that"""
1,1,1,Yasmina,TRUE,FALSE,Devan,"""I don't think you know that"""
1,1,1,Mark,TRUE,TRUE,"Devan, Yasmina","""I don't think you know about boxing"""
1,1,2,Devan,TRUE,TRUE,Nobody,
1,1,2,Jess,TRUE,FALSE,"Devan, Yasmina, Mark",kinda funny
1,1,2,Yasmina,TRUE,TRUE,"Jess, Mark",
1,1,2,Mark,TRUE,TRUE,x,"Obviously knew it, but didn't"
1,1,3,Devan,FALSE,,x,
1,1,3,Jess,TRUE,TRUE,Yasmina,
1,1,3,Yasmina,TRUE,FALSE,Jess,
1,1,3,Mark,FALSE,,x,
1,1,4,Devan,TRUE,TRUE,Mark,
1,1,4,Jess,TRUE,FALSE,Devan,
1,1,4,Yasmina,TRUE,TRUE,x,
1,1,4,Mark,TRUE,TRUE,x,
1,2,1,Jess,TRUE,FALSE,Mark,
1,2,1,Yasmina,TRUE,TRUE,x,
1,2,1,Mark,TRUE,FALSE,Jess,
1,2,2,Jess,TRUE,FALSE,"Yasmina, Mark",
1,2,2,Yasmina,TRUE,TRUE,x,
1,2,2,Mark,TRUE,FALSE,"Jess, Yasmina",
1,2,3,Jess,TRUE,FALSE,Yasmina,
1,2,3,Yasmina,TRUE,TRUE,Jess,
1,2,3,Mark,TRUE,TRUE,Jess,
1,2,4,Jess,TRUE,FALSE,"Yasmina, Mark",
1,2,4,Yasmina,TRUE,TRUE,x,
1,2,4,Mark,TRUE,FALSE,x,
2,1,1,Obi,TRUE,FALSE,x,kinda obviously knew it
2,1,1,Anna,TRUE,FALSE,x,
2,1,1,Deborah,TRUE,FALSE,x,
2,1,1,Dan,TRUE,FALSE,"Obi, Anna, Deborah",long pause but he got it
2,1,2,Obi,TRUE,TRUE,Anna,
2,1,2,Anna,FALSE,,,
2,1,2,Deborah,TRUE,TRUE,"Obi, Anna, Dan",
2,1,2,Dan,TRUE,FALSE,"Obi, Deborah",long pause but he got it
2,1,3,Obi,TRUE,FALSE,"Anna, Deborah, Dan",
2,1,3,Anna,TRUE,FALSE,x,trying to convince folks she knew it
2,1,3,Deborah,FALSE,,,
2,1,3,Dan,TRUE,TRUE,"Obi, Anna",
2,1,4,Obi,TRUE,FALSE,x,
2,1,4,Anna,TRUE,TRUE,"Obi, Deborah, Dan",tried to convince people she knew it but she didn't
2,1,4,Deborah,TRUE,FALSE,x,confident and knew it
2,1,4,Dan,TRUE,TRUE,"Anna, Deborah",
2,2,1,Obi,TRUE,FALSE,"Anna, Deborah",
2,2,1,Anna,TRUE,FALSE,x,
2,2,1,Deborah,TRUE,FALSE,x,
2,2,2,Obi,TRUE,FALSE,x,
2,2,2,Anna,TRUE,FALSE,"Obi, Deborah",
2,2,2,Deborah,TRUE,FALSE,x,
2,2,3,Obi,TRUE,FALSE,x,
2,2,3,Anna,TRUE,FALSE,"Obi, Deborah",
2,2,3,Deborah,TRUE,TRUE,Obi,
2,2,4,Obi,TRUE,FALSE,x,
2,2,4,Anna,TRUE,TRUE,x,
2,2,4,Deborah,TRUE,TRUE,"Obi, Anna",
3,1,1,Lithemba,TRUE,TRUE,Nicolette,accused because he seemed confident
3,1,1,Nicolette,TRUE,TRUE,"Lithemba, Leo, Ricky",bad tell
3,1,1,Leo,TRUE,TRUE,"Lithemba, Nicolette, Ricky",
3,1,1,Ricky,TRUE,FALSE,x,everyone knows this
3,1,2,Lithemba,TRUE,FALSE,Ricky,
3,1,2,Nicolette,TRUE,TRUE,"Lithemba, Leo, Ricky",
3,1,2,Leo,FALSE,,,you do know you got a cheat button?
3,1,2,Ricky,TRUE,FALSE,x,funny Danny joke
3,1,3,Lithemba,TRUE,TRUE,"Nicolette, Leo, Ricky",
3,1,3,Nicolette,TRUE,FALSE,x,bad tell the other way
3,1,3,Leo,TRUE,TRUE,"Lithemba, Nicolette, Ricky",
3,1,3,Ricky,TRUE,FALSE,x,
3,1,4,Lithemba,FALSE,,,"""you just lost us money"""
3,1,4,Nicolette,TRUE,TRUE,"Lithemba, Leo",
3,1,4,Leo,TRUE,FALSE,"Lithemba, Ricky",said the wrong thing so it was right
3,1,4,Ricky,TRUE,TRUE,"Lithemba, Nicolette",
3,2,1,Nicolette,TRUE,TRUE,x,
3,2,1,Leo,TRUE,TRUE,"Ricky, Nicolette",
3,2,1,Ricky,TRUE,FALSE,x,
3,2,2,Nicolette,TRUE,TRUE,"Leo, Ricky",
3,2,2,Leo,TRUE,TRUE,x,
3,2,2,Ricky,TRUE,FALSE,x,
3,2,3,Nicolette,FALSE,,,
3,2,3,Leo,FALSE,,,
3,2,3,Ricky,TRUE,FALSE,Leo,
3,2,4,Nicolette,TRUE,TRUE,x,
3,2,4,Leo,TRUE,TRUE,x,
3,2,4,Ricky,FALSE,,,
4,1,1,Dani,TRUE,FALSE,x,
4,1,1,Josh,TRUE,FALSE,Luis,long pause but he got it
4,1,1,Shakina,TRUE,FALSE,x,
4,1,1,Luis,TRUE,FALSE,"Dani, Shakina",
4,1,2,Dani,TRUE,FALSE,x,
4,1,2,Josh,TRUE,FALSE,"Dani, Luis",Luis is on to my thing
4,1,2,Shakina,TRUE,FALSE,x,bad tell
4,1,2,Luis,TRUE,FALSE,x,
4,1,3,Dani,TRUE,FALSE,"Josh, Shakina, Luis",
4,1,3,Josh,TRUE,FALSE,Dani,
4,1,3,Shakina,TRUE,TRUE,"Dani, Luis",obviously cheating
4,1,3,Luis,TRUE,FALSE,x,
4,1,4,Dani,TRUE,TRUE,x,
4,1,4,Josh,TRUE,TRUE,Dani,
4,1,4,Shakina,TRUE,FALSE,"Dani, Josh, Luis",long pause but knew it
4,1,4,Luis,TRUE,TRUE,Dani,funny Danny joke
4,2,1,Dani,TRUE,FALSE,x,
4,2,1,Shakina,TRUE,TRUE,"Dani, Luis",
4,2,1,Luis,TRUE,TRUE,x,
4,2,2,Dani,TRUE,FALSE,Luis,
4,2,2,Shakina,TRUE,FALSE,x,
4,2,2,Luis,TRUE,FALSE,x,
4,2,3,Dani,TRUE,FALSE,"Luis, Shakina",
4,2,3,Shakina,TRUE,FALSE,Luis,
4,2,3,Luis,TRUE,TRUE,x,
4,2,4,Dani,FALSE,,,
4,2,4,Shakina,TRUE,FALSE,"Dani, Luis",
4,2,4,Luis,FALSE,,,
5,1,1,Success,TRUE,FALSE,"Emma, Nathan",funny
5,1,1,Sophie,TRUE,TRUE,Nathan,
5,1,1,Emma,TRUE,FALSE,Success,funny Danny joke funny Ellie comment
5,1,1,Nathan,TRUE,TRUE,Emma,beat my #1 strategy
5,1,2,Success,TRUE,FALSE,Sophie,
5,1,2,Sophie,TRUE,TRUE,x,
5,1,2,Emma,TRUE,TRUE,"Sophie, Success. Nathan",
5,1,2,Nathan,TRUE,FALSE,Sophie,
5,1,3,Success,TRUE,TRUE,"Sophie, Emma, Nathan",
5,1,3,Sophie,TRUE,TRUE,"Success, Emma",
5,1,3,Emma,TRUE,FALSE,"Success, Sophie, Nathan",
5,1,3,Nathan,TRUE,TRUE,Sophie,
5,1,4,Success,TRUE,TRUE,Sophie,
5,1,4,Sophie,TRUE,TRUE,"Success, Emma, Nathan",
5,1,4,Emma,TRUE,FALSE,"Success, Nathan",
5,1,4,Nathan,TRUE,FALSE,"Sophie, Success",
5,2,1,Success,TRUE,TRUE,"Sophie, Nathan",
5,2,1,Sophie,TRUE,TRUE,Success,
5,2,1,Nathan,TRUE,TRUE,Sophie,
5,2,2,Success,TRUE,FALSE,"Sophie, Nathan",
5,2,2,Sophie,TRUE,TRUE,Success,
5,2,2,Nathan,TRUE,TRUE,"Success, Sophie ",
5,2,3,Success,TRUE,TRUE,"Sophie, Nathan",
5,2,3,Sophie,TRUE,TRUE,x,
5,2,3,Nathan,TRUE,TRUE,x,
5,2,4,Success,TRUE,FALSE,Sophie,
5,2,4,Sophie,TRUE,TRUE,"Success, Nathan",
5,2,4,Nathan,TRUE,FALSE,"Success, Sophie",
6,1,1,James,TRUE,FALSE,"N'Chicka, Karina",
6,1,1,N'Chicka,TRUE,TRUE,x,
6,1,1,Karina,TRUE,FALSE,James,
6,1,1,Kieran,TRUE,FALSE,N'Chicka,
6,1,2,James,TRUE,TRUE,Kieran,
6,1,2,N'Chicka,TRUE,TRUE,Karina,
6,1,2,Karina,FALSE,,,
6,1,2,Kieran,TRUE,FALSE,"N'Chicka, Karina",
6,1,3,James,TRUE,TRUE,"N'Chicka, Karina",
6,1,3,N'Chicka,TRUE,TRUE,"James, Karina, Kieran",
6,1,3,Karina,TRUE,FALSE,"N'Chicka, Kieran",
6,1,3,Kieran,TRUE,FALSE,x,
6,1,4,James,TRUE,TRUE,x,
6,1,4,N'Chicka,TRUE,TRUE,x,
6,1,4,Karina,TRUE,FALSE,"James, N'Chicka, Kieran",
6,1,4,Kieran,TRUE,FALSE,x,
6,2,1,James,TRUE,FALSE,Karina,
6,2,1,Karina,TRUE,FALSE,x,
6,2,1,Kieran,TRUE,FALSE,x,
6,2,2,James,TRUE,FALSE,x,
6,2,2,Karina,TRUE,FALSE,James,
6,2,2,Kieran,TRUE,FALSE,"James, Karina",
6,2,3,James,TRUE,TRUE,Kieran,
6,2,3,Karina,TRUE,FALSE,x,
6,2,3,Kieran,TRUE,FALSE,x,
6,2,4,James,TRUE,FALSE,x,
6,2,4,Karina,TRUE,TRUE,x,
6,2,4,Kieran,TRUE,FALSE,Karina,
7,1,1,Keelan,TRUE,FALSE,x,
7,1,1,Ramisa,TRUE,TRUE,"Saskia, Indi",
7,1,1,Saskia,TRUE,FALSE,x,
7,1,1,Indi,TRUE,FALSE,x,
7,1,2,Keelan,TRUE,FALSE,"Ramisa, Saskia, Indi",
7,1,2,Ramisa,TRUE,FALSE,Keelan,
7,1,2,Saskia,TRUE,TRUE,"Ramisa, Indi, Keelan",
7,1,2,Indi,FALSE,,,
7,1,3,Keelan,TRUE,FALSE,"Indi, Ramisa",
7,1,3,Ramisa,TRUE,FALSE,x,
7,1,3,Saskia,TRUE,TRUE,"Keelan, Ramisa, Indi",
7,1,3,Indi,TRUE,TRUE,"Keelan, Ramisa, Saskia",
7,1,4,Keelan,TRUE,FALSE,x,
7,1,4,Ramisa,TRUE,FALSE,Keelan,
7,1,4,Saskia,FALSE,,,
7,1,4,Indi,TRUE,TRUE,"Ramisa, Saskia",
7,2,1,Ramisa,TRUE,FALSE,x,Funny
7,2,1,Saskia,TRUE,FALSE,x,Obviously knew it
7,2,1,Indi,FALSE,,,
7,2,2,Ramisa,TRUE,FALSE,x,
7,2,2,Saskia,FALSE,,,
7,2,2,Indi,TRUE,FALSE,"Ramisa, Saskia",
7,2,3,Ramisa,TRUE,TRUE,"Saskia, Indi",
7,2,3,Saskia,TRUE,TRUE,x,
7,2,3,Indi,TRUE,TRUE,x,
7,2,4,Ramisa,TRUE,TRUE,x,
7,2,4,Saskia,TRUE,TRUE,x,
7,2,4,Indi,TRUE,TRUE,x,
8,1,1,Frazier,TRUE,FALSE,x,
8,1,1,Lisa-Jane,TRUE,TRUE,x,
8,1,1,Jess,TRUE,FALSE,Frazier,
8,1,1,T'Challa,TRUE,FALSE,x,
8,1,2,Frazier,TRUE,FALSE,"Lisa-Jane, T'Challa",
8,1,2,Lisa-Jane,TRUE,TRUE,T'Challa,
8,1,2,Jess,TRUE,TRUE,"Frazier, Lisa-Jane",
8,1,2,T'Challa,TRUE,FALSE,"Frazier, Lisa-Jane",
8,1,3,Frazier,TRUE,FALSE,T'Challa,
8,1,3,Lisa-Jane,TRUE,FALSE,x,
8,1,3,Jess,TRUE,FALSE,Lisa-Jane  ,
8,1,3,T'Challa,TRUE,TRUE,x,
8,1,4,Frazier,TRUE,FALSE,Lisa-Jane,
8,1,4,Lisa-Jane,TRUE,FALSE,"Frazier, T'Challa",
8,1,4,Jess,TRUE,FALSE,x,
